Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
sandbox,بيئة الاختبار,沙盒,沙盒,sandbox,environnement de test sandbox,Sandbox,sandbox,Gwaji,सैंडबॉक्स,sandbox (homokozó),sandbox,sandbox,サンドボックス,샌드박스,سندباکس,kotak pasir,Testing Environment,Środowisko testowe / piaskownica,sandbox,sandbox,«песочница»,entorno de pruebas,sandbox,แซนด์บ็อกซ์,sandbox,пісочниця,môi trường thử nghiệm,
Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,
Satoshi Nakamoto,ساتوشي ناكاموتو,中本聪,中本聰,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,सातोशी नाकामोटो,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,나카모토 사토시,ساتوشی ناکاموتو,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Сатоши Накамото,Satoshi Nakamoto,Satoshi Nakamoto,ซาโตชิ นากาโมโต,Satoshi Nakamoto,Сатоші Накамото,Satoshi Nakamoto,
Save,حفظ,保存,儲存,opslaan,Sauvegarder,Speichern,Save (Αποθήκευση),Ajiye,सेव करें,mentés,Simpan,Salva,保存,저장,ذخیره کردن,Simpan,Save,Zapisz,Salvar,Salvează,Сохранить,guardar,I-save,บันทึก,Kaydet,Зберегти,Lưu,
scalability,قابلية التوسع,可扩展性,可擴展性,schaalbaarheid,Capacité à être mis à l’échelle,Skalierbarkeit,επεκτασιμότητα/δυνατότητα κλιμάκωσης,Ƙara saurin ciniki (saurin yankewa),स्केलेबिल्टी,méretezhetőség,skalabilitas,scalabilità,スケーラビリティ,확장성,مقیاس پذیری,kebolehskalaan,fit carry more work,Skalowalność,escalabilidade,scalabilitate,масштабируемость,escalabilidad,scalability,ความสามารถในการปรับขนาด,ölçeklendirilebilirlik,масштабованість,khả năng mở rộng,
scaling,التوسع,扩容,擴展,opschalen,Monter en charge / Montée en charge,Skalieren,Αλλαγή κλίμακας,Ƙarfafa ,स्केलिंग,méretezés,Scaling,Scaling,スケーリング,스케일링,مقیاس پذیری,Penskalaan,Make Am Fit Carry More Work,Skalowanie,Dimensionamento,Scaling,масштабирование,escalado,Scaling,ปรับขนาด,Ölçeklendirme,Масштабування,Mở rộng quy mô,
scam,احتيال,欺诈,詐騙,scam/oplichting,Arnaque / Escroquerie,Betrug,Scam (Απάτη),Yaudara,स्कैम,átverés,Penipuan,Truffa,詐欺,사기,کلاهبرداری,Penipuan,Scam,Oszustwo,Golpe,Înșelăciune,Мошенничество,estafa,Panloloko,หลอกลวง,Dolandırıcılık,Шахрайство,Lừa đảo,
Scan,مسح ضوئي,扫描,掃描,scannen,Scanner,Scannen,Scan (Σάρωση),Bincike,स्कैन करें,beolvasni,Pindai,Scansiona,スキャン,스캔,اسکن کردن,Imbas,Scan,Skanuj,Ler,Scanare/Scanează,Сканировать,explorar,Mag-scan,สแกน,Tara,Сканувати,Quét,
Scrypt,خوارزمية التعدين Scrypt,Scrypt 挖掘算法,Scrypt,scrypt,Scrypt,Scrypt,Συνάρτηση παραγωγής κλειδιού,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,스크립트,اسکریپت,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,scrypt,Scrypt,สคริปต์,Scrypt,Scrypt,Scrypt,
SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,
Search,بحث,搜索,搜尋,zoeken,Recherche/Rechercher,Suchen,Search (Αναζήτηση),Nemo,ढूंढें,keresés,Cari,Cerca,検索,검색,جستجو,Cari,Search,Szukaj,Pesquisar,Caută,Поиск,búsqueda,Maghanap,ค้นหา,Ara,Пошук,Tìm kiếm,
search engine,محرك البحث,搜索引擎,搜尋引擎,zoekmachine,Moteur de recherche,Suchmaschine,Search engine (Μηχανή αναζήτησης),Injin bincike,सर्च इंजन,keresőmotor,Mesin pencari,Motore di ricerca,検索エンジン,검색 엔진,موتور جستجو,Enjin carian,Search engine,Wyszukiwarka,Motor de busca,Motor de căutare,Поисковая система,motor de búsqueda,Search engine,โปรแกรมค้นหา,Arama motoru,Пошукова система,Công cụ tìm kiếm,
Secret Recovery Phrase,عبارة الاسترداد السرية,私钥助记词,助記詞,geheime herstelzin,Phrase secrète de récupération,Geheime Wiederherstellungsphrase,Μυστική φράση ανάκτησης,Kalmar Sirri,सीक्रेट रिकवरी फ्रेज़,titkos helyreállítási kifejezés,Frasa Pemulihan Rahasia,Frase di recupero segreta,シークレットリカバリーフレーズ,비밀복구구문,عبارت بازیابی محرمانه,Frasa Pemulihan Rahsia,Secret Word,Tajna fraza odzyskiwania (SRP),Frase de Recuperação Secreta,Frază secretă de recuperare,Секретная фраза для восстановления,frase secreta de recuperación,Lihim na Parirala sa Pagbawi,วลีกู้คืนรหัส,Gizli Kurtarma İfadesi,Секретна фраза відновлення,Cụm từ khôi phục bí mật,
Security & Privacy,الأمان والخصوصية,安全与隐私,安全和隱私,beveiliging en privacy,Sécurité et confidentialité,Sicherheit und Datenschutz,Ασφάλεια και προστασία προσωπικών δεδομένων,Tsaro da Sirri,सुरक्षा और गोपनीयता,Biztonság és adatvédelem,Keamanan & Privasi ,Sicurezza e Privacy,セキュリティとプライバシー,보호 및 보안,امنیت و حریم خصوصی,Keselamatan & Privasi,Security and Privacy,Bezpieczeństwo i prywatność,Segurança e privacidade,Securitate și confidențialitate,Безопасность и конфиденциальность,seguridad y privacidad,Seguridad at Pagkapribado,ความปลอดภัยและความเป็นส่วนตัว,Güvenlik ve Gizlilik,Безпека та конфіденційність,Bảo mật & Quyền riêng tư,
Security Token,توكِنّ ورقة مالية,证券型代币,證券型代幣,beveiligingstoken,Jeton de sécurité,Security Token,Διακριτικό ασφαλείας,Mai ganowa na tsaro,Security Token,biztonsági zseton,Token Keamanan,Security Token,セキュリティトークン,보안 토큰,توکن اوراق بهادار ,Token Keselamatan,Special tokens wey you fit invest,Token zabezpieczający,Token de segurança,Token de securitate,Токен безопасности,token de seguridad,Token ng Seguridad,โทเค็นหลักทรัพย์,Menkul Kıymet Tokeni,Токен безпеки,Token chứng khoán,
Security Token Offering,عرض توكِنّ الورقة المالية (STO),证券型代币发行（STO）,證券型代幣發行,STO (security token offering),Offre de jetons de sécurité (STO),Security-Token-Offering (STO),Προσφορά διακριτικών ασφαλείας (STO),Fitar Alamar Tsaro,सिक्यूरिटी टोकन ऑफरिंग (STO),biztonsági zseton ajánlat (BZA),Penawaran Token Keamanan (STO),Security Token Offering (STO),セキュリティトークンオファリング (STO),증권형 토큰 공개(STO),عرضه توکن اوراق بهادار (STO),Tawaran Token Keselamatan (STO),Dem dey sell special tokens for investment,STO (Security Token Offering),Oferta de token de segurança (STO),Ofertă tokeni de securitate (STO),Предложение токенов безопасности (STO),oferta de tokens de seguridad (STO),Security Token Offering (STO),การเสนอขายโทเค็นหลักทรัพย์ (STO),Menkul Kıymet Token Arzı (STO),Пропозиція токенів безпеки (STO),Cung cấp mã thông báo bảo mật (STO),
seed phrase,العبارة الأولية,助记词,助記詞,seed phrase,phrase secrète,Seed-Phrase,seed phrase,Kalmar sirri,सीड फ्रेज़,magkifejezés,seed phrase,frase di ripristino,シードフレーズ,시드구문,عبارت بازیابی,frasa benih,Secret Word,Fraza seed,frase-semente,seed phrase,сид-фраза,frase semilla,pariralang binhi,ซีดเฟส,anahtar cümle,сід-фраза,cụm từ khôi phục,
self-custody,الحفظ الذاتي,自主托管,自行監管,self-custody/zelfbewaring/eigen beheer,Détention en propre,Selbstverwahrung,αυτοεπιμέλεια,Ajiyar Kudi Kai Tsaye,सेल्फ-कस्टडी (नाउन),öngondnokság,penyimpanan mandiri (noun),self-custody (noun),セルフカストディ,셀프 커스터디,خود حضانتی,jagaan sendiri,You dey hol your crypto keys yourself,Samodzielne zarządzanie,autocustódia,custodie proprie,самодепозитарий,autocustodia,sariling kustodiya (pangngalan),การเก็บรักษาเอง,self-custody (emanet edilmeyen),самостійне зберігання,tự quản (danh từ),
self-executing,ذاتي التنفيذ,自动执行,自動執行,zelfuitvoerend,Auto-exécution,selbstausführend,αυτοδικαίως εκτέλεση,Mai Aiki Kai Tsaye,सेल्फ-एक्सीक्यूटिंग,önvégrehajtó,eksekusi mandiri,auto-esecuzione,自動実行型,셀프 커스터디,خود اجراشونده,melaksanakan sendiri,E Dey Work Automatically,samowykonujący,autoexecutável,autoexecutare,самоисполняющийся,autoejecutable,sariling pagpapatupad,ดำเนินการเอง,kendiliğinden uygulanan,самовиконуваний,tự thực hiện,
Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,
Serenity,ترقية Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,セレニティ,세레니티,سرنیتی,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,
serialization,عملية التسلسل,序列化,序列化,serialisatie,sérialisation,Serialisierung,σειριοποίηση,silsilantarwa,सीरियलाइज़ेशन,sorozatosítás,serialisasi,serializzazione,シリアル化,직렬화,دنباله‌سازی,serialisasi,turn data small for storage or to send,Serializacja,serialização,serializare,сериализация,serialización,pagse-serye,การเรียงลำดับอนุกรม,serileştirme,серіалізація,tuần tự hóa,
Settings,إعدادات,设置,設定,instellingen,Paramètres,Einstellungen,Settings (Ρυθμίσεις),Saituna,Settings,Beállítások,Pengaturan,Impostazioni,設定,설정,تنظیمات,Tetapan,Settings,Ustawienia,Configurações,Setări,Настройки,configuración,Mga setting,การตั้งค่า,Ayarlar,Налаштування,Cài đặt,
shard chain,سلسلة مجزأة,分片区块链,分片鏈,shard chain,chaîne de fragment,Shard Chain,Αλυσίδα Θραυσμάτων,Sassanƙa Sarka,शार्ड (Shard) चेन,szilánk lánc,Chain pecahan,Shard chain,シャードチェーン,샤드체인,زنجیره شارد,Rantai shard,Small Chains Wey Dey Work With Big Chain,Łańcuch odłamkowy (shard chain),Cadeia de fragmentos,lanț de fragmente,Шардчейн,cadena de fragmentos,Chain ng pagpipira-piraso,ชาร์ดเชน,Parça zincir,Ланцюжок сегментів,Chuỗi phân đoạn,
sharding,تجزئة الشبكة,分片,分片,sharding,fragmentation (nom),Sharding,κατακερματισμός,Sassakawa,शार्डिंग (sharding) (नाउन),méretezés,pemecahan (noun),sharding (noun),シャーディング,샤딩(명사),شاردینگ,sharding,Dem dey divide blockchain,Sharding,fragmentação,fragmentare,шардинг,fragmentación,pagpipira-piraso (pangngalan),การแบ่งชาร์ด,sharding (bölme),шардування,phân đoạn (danh từ),
shielded transaction,معاملة مُحصنة,隐私交易,匿名交易,afgeschermde transactie,Transaction protégée,Abgeschirmte Transaktion,Προστατευμένη συναλλαγή,Mu'amala a Boye,Shielded Transaction,védett tranzakció,Transaksi Terlindung,Transazione protetta,秘匿化済みトランザクション,차폐 트랜잭션,تراکنش محافظت‌شده,Transaksi Terlindung,secret message,Ukryta transakcja,Transação blindada,Tranzacție protejată,Защищенная транзакция,transacción blindada,Shielded na Transaksyon,ธุรกรรมที่มีการป้องกัน,Korumalı İşlem,Захищена транзакція,Giao dịch được bảo vệ,
Show,إظهار,显示,顯示,tonen,Afficher,Anzeigen,Show (Εμφάνιση),Nuna,दिखाएं,megjelenítés,Tampilkan,Mostra,表示,표시,نمایش,Tunjukkan,Show,Pokaż,Exibir,Afișează,Показать,mostrar,Ipakita,แสดง,Göster,Показати,Hiển thị,
sidechain,سلسلة جانبية,侧链,側鏈,sidechain,chaîne latérale / blockchain secondaire,Sidechain,πλευρική αλυσίδα,Sarkar gefe,साइडचेन,oldallánc,sidechain,sidechain,サイドチェーン,사이드체인,زنجیره جانبی,rantaian sampingan,Separate Blockchain wey dey Connect to Main One,Łańcuch boczny,rede paralela / lateral,sidechain,сайдчейн,cadena lateral,sidechain,เชนข้างเคียง,yan zincir,сайдчейн,chuỗi phụ,
Sign,توقيع,签名,簽署,tekenen,Signer,Unterzeichnen ,Sign (Είσοδος) ,Sa hannu,साइन करें ,aláírás,Tandatangani,Firma,署名,서명,امضا کردن,Tandatangan,Sign,Podpisz,Assinar,Semnează ,Подписать ,firmar,Pumirma,ลงนาม,İmzala,Підписати ,Ký,
sign-in,تسجيل الدخول,登录,登入,aanmelden,Connexion,Anmelden,Sign-in (Σύνδεση),Shiga,साइन-इन करें,bejelentkezés,Masuk,Accedi,サインイン,로그인,ورود,Daftar masuk,Sign in,Zaloguj się,Entrar,Conectează-te,Войти,iniciar sesión,Mag-sign-in,เข้าสู่ระบบ,Giriş,Увійти,Đăng nhập,
Signature,التوقيع (تشفير),签名（加密）,簽章,handtekening,Signature numérique (cryptographie),Signatur (kryptografisch),Υπογραφή (Κρυπτογραφική),Sanya hannu (Boye),सिग्नेचर (क्रिप्टोग्राफ़िक),aláírás (kriptográfiai),Tanda Tangan (Kriptografik),Firma (crittata),署名,서명(암호화),امضا (رمزنگاری),Tandatangan (Kriptografik),Oga code wey prove say na you sign something,Podpis (kryptograficzny),Assinatura (criptográfica),Semnătură (criptografică),Подпись (Криптографическая),firma (criptográfica),Lagda (Kriptograpiya),ลายเซ็น (วิทยาการรหัสลับ),İmza (Kriptografik),Підпис (криптографічний),Chữ ký (Mật mã hoá),
Skip,تخطي,跳过,略過,overslaan,Ignorer,Überspringen ,Skip (Παράβλεψη),Tsallake,स्किप करें ,kihagyás,Lewati,Salta,スキップ,건너뛰기,رد شدن,Langkau,Skip,Pomiń,Pular,Ignoră ,Пропустить ,omitir,Laktawan,ข้าม,Atla,Пропустити ,Bỏ qua,
slashing condition,شرط الشطب,削减条件,刪砍條件,slashing condition,condition de hachage,Slashing-Bedingung,συνθήκη slashing,sharía mai ragewa ,स्लैशिंग (slashing) कंडीशन,fenyegető állapot,kondisi slashing,condizione di slash,スラッシュ条件,슬래싱 조건,شرط کاهنده,keadaan slashing,Wetin Fit Make Dem Destroy Validator Money,Slashing,condição de corte,condiție de slashing,условие слэшинга,condición de corte,kondisyon ng paglaslas,เงื่อนไขลงโทษ,slashing ceza durumu,умова скорочення,điều kiện phạt,
slippage,الانزلاق السعري,滑移,滑點,slippage,slippage / effet de glissement,Slippage,απόκλιση,bambanci farashin,स्लिपेज (slippage),csúszás,slip/selip,slippage,スリッページ,슬리피지,لغزش قیمت,gelinciran,price change before you finish to buy/sell,Poślizg cenowy,slippage,slippage,проскальзывание,deslizamiento,slippage,ค่าความคลาดเคลื่อน,kayma,прослизання,trượt giá,
slot,فاصل زمني,时间间隔（Slot）,時段,slot,un créneau,Slot,χρονικό διάστημα,zagaye na zabin shinga,स्लॉट,rés,slot,slot,スロット,슬롯,اسلات,slot,slot,Slot,espaço,slot,слот,ranura,puwang,สล็อต,slot,слот,khe thời gian,
smart contract,عقد ذكي,智能合约,智能合約,slim contract,contrat intelligent,Smart Contract,έξυπνη σύμβαση,yarjejeniyar kai tsaye ,स्मार्ट कॉन्ट्रैक्ट,okos szerződés,kontrak cerdas,smart contract,スマートコントラクト,스마트 계약,قرارداد هوشمند,kontrak pintar,Agreement wey dey run by itself,Smart kontrakt (kontrakt inteligentny),contrato inteligente,smart contract,смарт-контракт,contrato inteligente,smart na kontrata,สมาร์ตคอนแทรก,akıllı sözleşme,смарт-контракт,hợp đồng thông minh,
Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,Snap,
Snaps,Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),Snaps (MetaMask Snaps),
Snapshots API,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft fork,انقسام بسيط (هارد فورك),软分叉,軟分叉,soft fork,fork doux,Soft Fork,soft fork,canjin tsarin cibiyar sadarwa mai sauƙi,सॉफ्ट फोर्क,soft fork,soft fork,soft fork,ソフトフォーク,소프트 포크,انشعاب نرم,soft fork,Small Upgrade or Change wey no break old systems,Soft fork,bifurcação leve,soft fork,софтфорк,bifurcación suave,soft fork,การแยกอสมบูรณ์,yumuşak çatal,софт-форк,phân nhánh mềm,
Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,솔리디티,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,
Source,المصدر ,来源,來源,bron,Source (nom),Quelle,Source (Πηγή),Asali ,सोर्स (नाउन),forrás,Sumber,Origine,提供元 / 供給源,소스(명사),منبع,Sumber,Source,Źródło,Fonte,Sursă,Источник,fuente,Pinagmulan (pangngalan),ที่มา,Kaynak,Джерело,Nguồn (danh từ),
Speed-up,تسريع,加速,加快,versnellen,Accélérer,Beschleunigen,Speed-up (Επιτάχυνση),Ƙara Sauri ,स्पीड-अप,felgyorsítani,Percepat,Velocizza,高速化,가속화,افزایش سرعت,Percepatkan,Speed up,Przyspiesz,Acelerar,Accelerare/Accelerează,Ускорить,agilizar,Pabilisan,เร่งความเร็ว,Hızlandır,Прискорити,Tăng tốc,
stablecoin,عملة مستقرة,稳定币,穩定幣,stablecoin,Stablecoin (monnaie stable),Stablecoin,stablecoin,Kudi mai daidaito,स्टेबलकॉइन,stabil érme,stablecoin,stablecoin,ステーブルコイン,스테이블코인,استیبل کوین,stablecoin,Crypto wey hin value no dey change too much,Stablecoin,moeda estável,stablecoin,стейблкоин,moneda estable,stablecoin,สเตเบิลคอยน์,stabil kripto para,стейблкойн,đồng ổn định,
stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staking,الربط,质押,幣安質押,staking,staking (nom),Staking,συμμετοχή,sanya hannu don samun lada,स्टेकिंग (नाउन),staking,staking (noun),staking (noun),ステーキング,스테이킹(명사),سپرده‌گذاری,staking,"Hold Crypto, Collect Gain",Staking,staking,staking,стейкинг,staking,pagtataya (pangngalan),การฝาก,stake etme,стейкинг,ký gửi (danh từ),
state,حالة,状态,狀態,status,état,Status,state,bayanin yanzu na cibiyar sadarwa,स्टेट,állapot,state,stato,ステート,상태,وضعیت,state,Wetin Dey Happen Now for blockchain network,Stan,estado,stare,стейт,estado,estado,สถานะ,durum,стан,trạng thái,
state channels,قنوات الحالة,状态通道,狀態通道,statuskanalen,canaux d’état,Statuskanäle,state channels,tashoshin hali,स्टेट चैनल्स,állapoti csatornák,saluran state,canali di stato,ステートチャネル,상태 채널,کانال‌های وضعیت,saluran state,Special Channels wey dey make transaction happen quick-quick for Ethereum,Kanały stanu,canais de estado,canale de stare,Каналы состояния,canales de estado,mga channel ng estado,แชนแนลสถานะ,durum kanalları,канали стану,kênh trạng thái,
state logs,سجلات الحالة,状态记录,狀態日誌,statuslogboeken,Journaux d’état,Statusprotokolle,State logs,Gudun rajistan ayyukan,स्टेट लॉग्स,állapotnaplók,Log State,Registri di stato,ステートログ,상태 기록,تاریخچه وضعیت,Log state,Your Crypto Waka,Logi stanu,Logs de estado,Jurnale de stare,Журналы состояния,registros de estado,Mga tala ng estado,รายการบันทึกสถานะ,Durum günlükleri,Журнали стану,Nhật ký trạng thái,
Status,حالة,状态,狀態,status,Statut,Status,Status (Κατάσταση),Matsayi ,स्टेटस,állapot,Status,Stato,ステータス,상태,وضعیت,Status,Status,Status,Status,Stare,Статус,estado,Katayuan,สถานะ,Durum,Статус,Trạng thái,
STO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streaming,تدفق,资金流,金流,streaming,Streaming,Streaming,Ροή,biyan kuɗi a sassa,स्ट्रीमिंग,streaming,Streaming,Streaming,ストリーミング,스트리밍,جریان پول,Penstriman,Payment wey dey flow steady,Streaming,Fluxo,Streaming,Стриминг,flujo,Streaming,สตรีม,Streaming,Потокова передача,Thanh toán liên tục,
Submit,تقديم,提交,提交,indienen,Envoyer,Absenden ,Submit (Υποβολή),Aika,सबमिट करें ,küldés,Kirim,Invia,送信,제출,ارسال,Hantar,Submit,Prześlij,Enviar,Trimite ,Отправить ,enviar,Magsumite,ส่งออก,Gönder,Відправити ,Gửi,
Support,الدعم,支持团队,客服,Support,Assistance,Support,Support (Υποστήριξη),Tallafin,सपोर्ट,Támogatás,Dukungan  ,Assistenza,サポート,지원,پشتیبانی,Sokongan,Support,Wsparcie,Suporte,Asistență,Поддержка,ayuda,Suporta,ฝ่ายสนับสนุน,Destek,Підтримка,Hỗ trợ,
Support Center,مركز الدعم,支持中心,客服中心,helpcentrum,Centre d’assistance,Support Center,Support Center (Κέντρο υποστήριξης),Cibiyar Tallafi,सपोर्ट सेंटर,Támogatóközpont,Pusat Dukungan,Centro Assistenza,サポートセンター,지원 센터,مرکز پشتیبانی,Pusat Sokongan,Help Center,Centrum wsparcia,Central de suporte,Centru de asistență,Центр поддержки,centro de ayuda,Sentro ng Suporta,ศูนย์การสนับสนุน,Destek Merkezi,Центр підтримки,Trung tâm hỗ trợ,
swap,مبادلة,兑换,交換,swap,swap (nom),Swap,εναλλαγή,canjin kudi na crypto,स्वैप (नाउन),csere,penukaran (noun),scambio (noun),スワップ,스왑(명사),مبادله,"
tukar",trade one crypto for anoda,swap,troca,swap,своп,intercambio,palitan (pangngalan),การแลกเปลี่ยน,swap,своп,hoán đổi (danh từ),
swap,تبديل,兑换,換幣,swappen,Échanger,swappen/tauschen,ανταλλάσσω,Musanya,स्वैप ,cserél,tukar,scambiare,交換する,스왑,مبادله,tukar,make u trade crypto for anoda,Wymieniać,trocar,a face schimb,выполнять своп,intercambiar,i-swap,แลกเปลี่ยน,swap işlemi yapmak/gerçekleştirmek,здійснювати свопінг,Hoán đổi,
Switch,تبديل,切换,切換,wisselen,Changer (verbe),Wechseln,Αλλάζω,Canji,स्विच (वर्ब),váltani,Beralih (verb),Cambia (verb),切り替える,전환(동사),تغییر دادن,Tukar,Switch,Przełącz,Alternar,Comută,Сменить,cambiar,Lumipat (pandiwa),เปลี่ยน,Geç/Değiştir,Перемкнути,Chuyển đổi (động từ),
Symbol,رمز,符号,標誌,symbool,Symbole,Symbol,Symbol (Σύμβολο),Alama,सिंबल,szimbólum,Simbol,Simbolo,シンボル,심볼,نماد,Simbol,"Token symbol (e.g., ETH)",Symbol,Símbolo,Simbol,Символ,símbolo,Simbolo,สัญลักษณ์,Sembol,Символ,Biểu tượng,
szabo,سزابو (szabo),szabo,szabo,szabo,szabo,Szabo,szabo,szabo,szabo,szabo,szabo,szabo,szabo,재보,سابو,szabo,szabo,Szabo,szabo,szabo,сабо,szabo,szabo,ซาโบ,szabo,сабо,szabo,
Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,
Telegram,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testnet,شبكة الاختبار,测试网,測試網路,testnet,testnet,Testnet,testnet,Cibiyar gwaji,टैस्टनेट (testnet),testnet,testnet,testnet,テストネット,테스트넷,شبکه آزمایشی,testnet,where dem dey test new software,Testnet (sieć testowa),testnet,testnet,тестнет,red de pruebas,testnet,เครือข่ายทดสอบ,test ağı,тестова мережа,mạng thử nghiệm,
Testnet Kovan,شبكة اختبار Kovan,Testnet Kovan,Testnet Kovan,testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,टैस्टनेट Kovan,Kovan Teszthálózat,Testnet Kovan,Testnet Kovan,テストネットKovan,테스트넷 코반,شبکه آزمایش کوان,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Тестнет Kovan,red de pruebas Kovan,Testnet Kovan,เครือข่ายทดสอบ Kovan,Testnet Kovan,Kovan Testnet,Mạng thử nghiệm Kovan,
Testnet Rinkeby,شبكة اختبار Rinkeby,Testnet Rinkeby,Testnet Rinkeby,testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,टैस्टनेट Rinkeby,Rinkeby teszthálózat,Testnet Rinkeby,Testnet Rinkeby,テストネットRinkeby,테스트넷 린케비,شبکه آزمایشی رینکبای,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Тестнет Rinkeby,red de pruebas Rinkeby,Testnet Rinkeby,เครือข่ายทดสอบ Rinkeby,Testnet Rinkeby,Rinkeby Testnet,Mạng thử nghiệm Rinkeby,
Testnet Ropsten,شبكة اختبار Ropsten,Testnet Ropsten,Testnet Ropsten,testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,टैस्टनेट Ropsten,Ropsten teszthálózat,Testnet Ropsten,Testnet Ropsten,テストネットRopsten,테스트넷 롭스텐,شبکه آزمایشی راپستن,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Тестнет Ropsten,red de pruebas Ropsten,Testnet Ropsten,เครือข่ายทดสอบ Ropsten,Testnet Ropsten,Ropsten Testnet,Mạng thử nghiệm Ropsten,
Theme,المظهر,主题,主題,thema,Thème,Theme,Theme (Θέμα),Jigo,थीम,téma,Tema,Tema,テーマ,테마,تم,Tema,How You Like Am,Motyw,Tema,Temă,Тема,tema,Tema,ธีม,Tema,Тема,Chủ đề,
Tips,نصائح,提示,提示,tips,Conseils,Tipps,Συμβουλές,Shawara,सुझाव,tippek,Kiat,Suggerimenti,ヒント,팁,نکات,Tip,Advice,Wskazówki,Dicas,Sfaturi,Советы,consejos,Mga tip,เคล็ดลับ,İpuçları,Поради,Lời khuyên,
token,توكِنّ,代币,代幣,token,jeton,Token,συμβολικά νομίσματα,kadara ta dijita,टोकन,token,token,token,トークン,토큰,توکن,token,Special coin,Token,token,token,токен,token,token,โทเค็น,token,токен,token,
