Term,Part of speech,Term Category,Phonetic,Definition,Source,Date first recorded
Diligence,noun,project or product,/ˈdɪlɪdʒəns/,,,
edge,noun,project or product,/ɛdʒ/,"In the context of 'Edge computing': it is an emerging computing paradigm which refers to a range of networks and devices at or near the user. Edge is about processing data closer to where it's being generated, enabling processing at greater speeds and volumes, leading to greater action-led results in real time. The term can also refer to Microsoft's browser or the crypto software wallet",,
EEA,noun,project or product,"/ˈɛntərˌpraɪz ɪˈθiːriəm əˈlaɪəns/, /ˈiːˈiːˈeɪ/","Initialism; Ethereum Enterprise Allliance. A group of Ethereum core developers, startups, and large companies working together to commercialize and use Ethereum for different business applications. Website here.",,
Ethereum,noun,project or product,/ɪˈθiːriəm/,"A public blockchain network and decentralized software platform upon which developers build and run applications. As it is a proper noun, it should always be capitalized.",,
Etherscan,noun,project or product,/ˈɛðərˌskæn/,A popular website for analyzing activity on the Ethereum blockchain. See ‘blockchain explorer’. https://etherscan.io/ ,,
Fantom,noun,project or product,/ˈfæntəm/,"Fantom is a public blockchain platform that aims to facilitate fast and low-cost transactions for dapps and smart contracts. It was launched in 2018 and is based on the Ethereum codebase, but with several key enhancements. One of the main features of Fantom is its consensus mechanism, known as Lachesis, which is a variant of Directed Acyclic Graphs (DAGs) that allows for high transaction throughput and low confirmation times. This means that transactions on the Fantom network can be processed quickly and at a low cost, making it an attractive platform for developers looking to build dApps that require fast and efficient transactions.",,
Firefox,noun,project or product,/ˈfaɪərˌfɒks/,Internet browser.,,
FTM,noun,project or product,/ˈɛfˈtiːɛm/,,,
Gas Station Network,noun,project or product,/ɡæs ˈsteɪʃən ˈnɛtwɜrk/,"The Gas Station Network (GSN) is a decentralized network of relayers mainly referring to the Ethereum blockchain. It allows you to build dapps which provide payment for transactions, so users do not need to hold Ether or ETH to pay for gas, easing their onboarding process and improving user acquisition and experience. However, while the relayers in the GSN do not charge users, they charge the recipient and contract instead. In this way, the relayers recover the costs of transactions and profit from extra fees for providing such services. Originally conceived and designed by TabooKey, the GSN has grown to encompass many companies, protocols and platforms in the Ethereum ecosystem that wish to facilitate the onboarding of users to Ethereum applications. Gas Station Network ",,
Gitcoin,noun,project or product,/ˈɡɪtkɔɪn/,Gitcoin is a platform where coders and developers can get paid to work on open-source software in a wide variety of programming languages. Users can also submit their own project ideas to the Gitcoin platform in order to crowdsource funding from contributing donors. Gitcoin,,
GitHub,noun,project or product,/ˈɡɪthʌb/,"GitHub is an online software development platform. It's used for storing, tracking, and collaborating on software projects. It makes it easy for developers to share code files and collaborate with fellow developers on open-source projects. GitHub also serves as a social networking site where developers can openly network, collaborate, and pitch their work. GitHub ",,
Goerli,noun,project or product,/ˈɡɔrli/,"Goerli is a test networks. It is primarily used for development on the blockchain (testing out applications and smart contracts, etc). ETH on these testnets is a dummy balance and cannot be withdrawn or sent to mainnet.",,
GSN,noun,project or product,/ˈdʒiːˈɛsˈɛn/,Abbreviation for Gas Station Network,,
Harmony,noun,project or product,/ˈhɑːrməni/,,,
IBC,noun,project or product,/ˌɪntərˈblɒkˌtʃeɪn kəˈmjunɪˌkeɪʃən ˈproʊtəkɒl/,"Initialism; Inter-Blockchain Communication (IBC) is a communication protocol that allows different blockchains to relay messages to each other. It guarantees reliable, ordered and authenticated communication between the chains. Blockchains can trustlessly exchange value like tokens. IBC does not work like a bridge. Instead, blockchains send packets of information via smart contracts that allow them to not only exchange value but relay any form of data, such as communication, via the communication protocol.  Inter-Blockchain Communication (IBC) ",,
IPFS,noun,project or product,/ˌaɪˈpiːˈɛfˈɛs/,"Initialism; InterPlanetary File System. A decentralized file storage and referencing system for the Ethereum blockchain, and the internet as a whole. IFPS is an open source protocol that enables storing and sharing hypermedia (text, audio, visual) in a distributed manner without relying on a single point of failure. This distributed file system enables applications to run faster, safer and more transparently.",,
Kovan,noun,project or product,/ˈtɛstˌnɛt ˈkoʊvən/,"An Ethereum testnet that uses Proof of Authority consensus, available through MetaMask; website here.",,
Lattice1,noun,project or product,/ˈlætɪs wʌn/,"The Lattice1 is a powerful, secure, and user-friendly hardware wallet that allows you to manage an unlimited number of wallets and easily transact on the blockchain.",,
Launchpad,noun,project or product,/ˈlɔːntʃˌpæd/,The Launchpad is the Ethereum Foundation's official way to deposit your ETH for staking on Ethereum. Ethereum Launchpad,,
ledger,noun,project or product,/ˈlɛdʒər/,,,
Ledger Live,noun,project or product,/ˈlɛdʒər laɪv/,,,
Ledger Live App,noun,project or product,/ˈlɛdʒər laɪv æp/,"Ledger Live is a hardware wallet interface app for users of the Ledger Nano X, Ledger Nano S, and Ledger Blue. The app enables Ledger users to manage their cryptocurrency hardware and assets. Additionally, it features real-time price updates, multi-account management, and the convenience of an extremely simple setup process. Ledger Live combines the management of your individual crypto assets and device management into one interface, with the intention of gradually replacing the Chrome-based applications system that previously annoyed some users of the device.",,
Lido,noun,project or product,/ˈliːdoʊ/,Lido is a liquid staking protocol for Ethereum that allows users with less than 32 ETH to collectively fund new validators and receive rewards.,,
Lightning Network,noun,project or product,/ˈlaɪtnɪŋ ˈnɛtwɜrk/,"The Lightning Network is a second layer for Bitcoin that uses micropayment channels to scale the blockchain’s capability to conduct transactions more efficiently. This layer consists of multiple payment channels between parties or Bitcoin users. A Lightning Network channel is a transaction mechanism between two parties. Using channels, the parties can make or receive payments from each other. Transactions conducted on the Lightning Network are faster, less costly, and more readily confirmed than those conducted directly on the Bitcoin blockchain.",,
Maker Protocol,noun,project or product,/ˈmeɪkər ˈproʊtəkɒl/,"The Maker Protocol, built on the Ethereum blockchain, enables users to create and hold currency. Current elements of the Maker Protocol are the DAI stable coin, Maker Vaults, and Voting. MakerDAO governs the Maker Protocol by deciding on key parameters (e.g., stability fees, collateral types and rates, etc.)",,
MATIC,noun,project or product,/ˈmætɪk/,,,
Mercuryo,noun,project or product,/mɜrˈkjʊrioʊ/,,,
MobiKwik,noun,project or product,/ˈmoʊbiˌkwɪk/,MobiKwik is an Indian payment service provider founded in 2009 that provides a mobile phone-based payment system and digital wallet.,,
MoonPay,noun,project or product,/ˈmuːnˌpeɪ/,"MoonPay is a financial technology company that builds payments infrastructure for crypto. Its on-and-off-ramp suite of products provides a seamless experience for converting between fiat currencies and cryptocurrencies using all major payment methods, including debit and credit cards, local bank transfers, Apple Pay, Google Pay, and Samsung Pay. MoonPay is active in more than 160 countries and is trusted by 300+ leading wallets, websites, and applications to accept payments and defeat fraud. The company is based in Miami, Florida, and was founded in 2019.",,
Ngrave,noun,project or product,/ˈɛnɡreɪv/,Crypto hardware wallet.,,
ONE,noun,project or product,/wʌn/,,,
OpenSea,noun,project or product,/ˈoʊpənˌsiː/,OpenSea is the world's first and largest web3 marketplace for NFTs and crypto collectibles.,,
Opera,noun,project or product,/ˈɒpərə/,Internet browser.,,
Optimism,noun,project or product,/ɒpˈtɪmɪzəm/,"Optimism is a layer-2 scaling solution for Ethereum, which is a blockchain-based platform for decentralized applications. It is designed to reduce the cost and increase the speed of transactions on the Ethereum network. Optimism works by using a technique called optimistic rollups, which allows it to process a large number of transactions off-chain, while still maintaining the security and decentralization of the Ethereum network. In optimistic rollups, transactions are initially processed off-chain, and a summary of these transactions is then submitted to the Ethereum network for verification. This verification process ensures that the transactions are valid and that no fraud has occurred. Once the transactions are verified, they are added to the Ethereum blockchain, allowing users to interact with the decentralized applications built on the platform.",,
Oracle,noun,project or product,/ˈɔrəkəl/,"Typically, an oracle is any entity or person that is relied on to report the outcome of an event. In a blockchain network an oracle (human or machine) helps communicate data to a smart contract, which can then be used to verify an event or specific outcome.",,
Palm,noun,project or product,/pɑːm/,,,
PALM,noun,project or product,/pɑːm/,,,
ParaSwap,noun,project or product,/ˈpærəswɒp/,"ParaSwap is a decentralized exchange (DEX) aggregator that optimizes swaps for users through better prices, limited gas fees, and lower slippage. ParaSwap sources their liquidity from major DEXes such as Uniswap, Balancer, Curve, Kyber, in addition to ParaSwapPool, their professional Market Maker network.",,
PayPal,noun,project or product,/ˈpeɪˌpæl/,PayPal is a multinational financial technology company operating an online payments system in the majority of countries.,,
Plasma,noun,project or product,/ˈplæzmə/,"Plasma' is a term that is used to refer to one of the solutions being built and deployed in order to securely scale the Ethereum network. A Plasma network functions similarly to an optimistic rollup, inasmuch as it relies on Ethereum Mainnet to maintain the record of transactions, and as the source for arbitration or fraud resolution. However, a Plasma network differs in other important technical ways from rollups, and is currently limited to simple operations, such as swaps and token transfers. More technical information is available here.",,
Polygon,noun,project or product,/ˈpɒlɪɡɒn/,Polygon (formerly Matic Network) is a layer-2 scaling solution for Ethereum that aims to address the scalability issues of the Ethereum blockchain. It is designed to provide faster and cheaper transactions with the same level of security and decentralization as the Ethereum network. Polygon achieves this by creating a multi-chain ecosystem that is built on top of the Ethereum network. This ecosystem consists of various interconnected sidechains that can process transactions independently of the main Ethereum blockchain. These sidechains are called 'Polygon chains' or 'commit chains'.,,
Rarible,noun,project or product,/ˈrɛrəbl/,An NFT marketplace.,,
Rinkeby,noun,project or product,/ˈrɪŋkəbi/,"An Ethereum testnet that uses Proof of Authority consensus, available through MetaMask; Following the transition to Proof of Stake, Rinkeby scheduled its deprecation for the end of 2023.",,
Rocket Pool,noun,project or product,/ˈrɒkɪt puːl/,Rocket Pool is a decentralized Ethereum staking pool.,,
Ropsten,noun,project or product,/ˈtɛstˌnɛt ˈrɒpstən/,"An Ethereum testnet that used Proof of Work, and, following the transition to Proof of Stake, was deprecated.",,
Ropsten,noun,project or product,/ˈrɒpstən/,"An Ethereum testnet that used Proof of Work, and, following the transition to Proof of Stake, was deprecated.",,
Safeheron,noun,project or product,/ˈseɪfˌhɛrən/,Safeheron is an open-source platform for managing digital assets.,,
Samsung Pay,noun,project or product,/ˈsæmsʌŋ peɪ/,Samsung Pay is a mobile payment and digital wallet service that lets users make payments using compatible phones and other Samsung-produced devices.,,
Sardine,noun,project or product,/ˈsɑːdiːn/,Sardine is an instant fiat and crypto settlement platform.,,
Sepolia,noun,project or product,/sɛˈpoʊliə/,"Sepolia is a test networks. It is primarily used for development on the blockchain (testing out applications and smart contracts, etc). ETH on these testnets is a dummy balance and cannot be withdrawn or sent to mainnet",,
Solidity,noun,project or product,/ˈsɒlɪdɪti/,The programming language developers use to write smart contracts on the Ethereum network. See also ‘smart contract’. Solidity,,
Transak,noun,project or product,/ˈtrænsæk/,"Transak is a developer integration toolkit to let users buy/sell crypto in any app, website or web plugin. ",,
Trezor,noun,project or product,/ˈtrɛzər/,Hardware wallet.,,
Uniswap,noun,project or product,/ˈjuːnɪswɒp/,Uniswap is a decentralized cryptocurrency exchange that uses a set of smart contracts to execute trades on its exchange.,,
validium,noun,project or product,/vəˈlɪdiəm/,One of the technologies developed for scaling of the Ethereum network; see more here.,,
WalletConnect,noun,project or product,/ˈwɒlɪtˌkənɛkt/,WalletConnect is an open source protocol for connecting decentralised applications to mobile wallets with QR code scanning or deep linking.,,
WebSocket,noun,project or product,/ˈwɛbˌsɒkɪt/,"WebSocket is a computer communications protocol, providing full-duplex communication channels over a single TCP connection. It's often used by dapps to regularly fetch up-to-date information from the blockchain.",,
Wyre,noun,project or product,/ˈwaɪər/,"Wyre is a regulated Money Service Business (MSB), which means it is a financial services provider licensed to transmit and convert money. The company is almost a decade old, having been around since 2013. Wyre provides what the company calls a secure and compliant bridge between fiat and cryptocurrencies. It serves as an infrastructure provider for blockchain businesses to connect with the fiat economy. In other words, Wyre payments enable blockchain businesses to efficiently integrate highly customizable fiat on-ramps into their onboarding flows.",,
Sepolia,noun,project or product,/sɛˈpoʊliə/,"Sepolia is a test networks. It is primarily used for development on the blockchain (testing out applications and smart contracts, etc). ETH on these testnets is a dummy balance and cannot be withdrawn or sent to mainnet",,
Solidity,noun,project or product,/ˈsɒlɪdɪti/,The programming language developers use to write smart contracts on the Ethereum network. See also ‘smart contract’. Solidity,,
ACH transfer,noun,financial term,/ˈeɪ.siːˈeɪtʃ ˈtrænsfər/,"ACH (Automated Clearing House) bank transfer is an electronic payment method that allows money to be transferred between bank accounts in the United States. It is a system that processes transactions in batches and is commonly used for direct deposit of paychecks, bill payments, and online money transfers.",,
AML,noun,financial term,"/ˈænti ˈmʌni ˈlɔndərɪŋ/, /ˈeɪˌɛmˈɛl/",Acronym; Anti-Money Laundering. A set of international laws enacted to diminish the potential for criminal organizations or individuals to launder money. These rules and laws are applied to cryptocurrencies with varying effects in different jurisdictions.,,
custody,noun,financial term,/ˈkʌstədi/,"In the context of cryptocurrencies, custody refers to the safekeeping and management of digital assets on behalf of a client by a third-party service provider. Custody services are an important aspect of the cryptocurrency industry because cryptocurrencies are digital assets that require secure storage and management to prevent loss, theft, or unauthorized access. Crypto custody services are typically offered by specialized companies that provide secure storage solutions for cryptocurrencies. These companies use various security measures such as multi-signature authentication, cold storage, and insurance to protect their clients' assets.",,
deposit,noun,financial term,/dɪˈpɒzɪt/,"In most web3 contexts, 'depositing' refers to the act of transferring some amount of token(s) to an address other than one's own, most often to a smart contract controlled by a 'protocol', such as a decentralized exchange, video game or multiverse, DAO, etc. Generally, the user will receive something in return for their deposit, and the deposit can be claimed at the user's discretion, or upon completion of given conditions. Compare with 'stake'.",,
digital asset,noun,financial term,/ˈdɪdʒɪtəl ˈæsɛt/,"A digital commodity that is scarce, electronically transferable, and intangible with a market value.",,
EUR,noun,financial term,/ˈjʊəroʊ/,,,
fiat currency,noun,financial term,/ˈfiːæt ˈkʌrənsi/,"Government-issued currency. For example, US Dollars (USD), Euros (EUR), Yuan (CNY), and Yen (JPY).",,
fintech,noun,financial term,/ˈfɪntɛk/,,,
GBP,noun,financial term,/ˈdʒiːˈpiːˈiːˈbiː/,,,
insider trading,noun,financial term,/ˈɪnsaɪdər ˈtreɪdɪŋ/,"Insider trading happens when someone purchases or sells stocks while possessing private, material information about that stock. Insider Trading ",,
IPO,noun,financial term,/ˈɪnɪʃəl ˈpʌblɪk ˈɒfərɪŋ/,Initialism; An initial public offering (IPO) is the process of a company offering shares for purchase on the stock market for the first time.  IPO,,
liquidation,noun,financial term,/ˌlɪkwɪˈdeɪʃən/,Liquidation happens when a trader has insufficient funds to keep a leveraged trade open. Liquidation,,
liquidity,noun,financial term,/lɪˈkwɪdɪti/,"An asset is considered more ‘liquid’ if it can easily be converted into cash, and therefore, ‘liquidity’ refers to the availability of assets to a company or market. Conversely, the harder it is to turn an asset into cash, the more illiquid the asset. For example, stocks are considered relatively liquid assets, as they can be easily converted to cash, while real estate is considered an illiquid asset. The liquidity of an asset affects its risk potential and market price.",,
market cap,noun,financial term,/ˈmɑrkɪt kæp/,"Short for 'market capitalization', this refers to the total value held in a particular industry, market, company, or asset. For a publicly traded company, the market cap is the total dollar market value of a company's outstanding shares. For Bitcoin or Ethereum, the total market cap is a reflection of the current existing supply times the market price.",,
scam,noun,financial term,/skæm/,,,
security token,noun,financial term,/ˈsɪkjʊrɪti toʊkən/,"A security token is essentially a digital form of traditional securities. There are three primary types of traditional securities: equities, debt and a hybrid of debt and equity. Examples of securities include stocks, bonds, ETFs, options and futures. Hypothetically, any of these things can be tokenized to become a security token. It is possible that in the near future, security tokens could serve as a very viable alternative and competitor to stocks and other traditional securities. Security Token ",,
STO,noun,financial term,"/ˈsɪkjʊrɪti toʊkən ˈɒfərɪŋ/, /ˌɛs ˈtiː ˈoʊ/","Initialism; a Security Token Offering (STO) is a form of initial coin offering (ICO) where a company or organization issues a security token that is backed by a tangible asset, such as real estate, technology or other assets. The security token represents the right to ownership of the underlying asset, with the tokens being tradeable on a compliant digital asset exchange. Security Token Offering ",,
USD,noun,financial term,/ˈjuːˌɛsˈdiː/,Initialism; United States Dollar (fiat currency).,,
vesting,noun,financial term,/ˈvɛstɪŋ/,In the context of 'vesting period': The act of restricting the sale of a token for a particular period of time. Vesting period,,
STO,noun,financial term,"/ˈsɪkjʊrɪti toʊkən ˈɒfərɪŋ/, /ˌɛs ˈtiː ˈoʊ/","Initialism; a Security Token Offering (STO) is a form of initial coin offering (ICO) where a company or organization issues a security token that is backed by a tangible asset, such as real estate, technology or other assets. The security token represents the right to ownership of the underlying asset, with the tokens being tradeable on a compliant digital asset exchange. Security Token Offering ",,
Know Your Customer (KYC),noun,legal term,/ˈnoʊ jʊər ˈkʌstəmər/; /ˈkaɪs/,"A process in which a business must verify the identity and background information (address, financial details, etc.) of their customers. For example, current regulations and laws require banks and other financial institutions to keep and report customers' personal information and transactions.",,
Know Your Transaction,noun,legal term,/ˈnoʊ jʊər ˈtrænˈzækʃən/,Know Your Transaction (KYT) is a process employed by financial institutions to monitor the merchants' businesses through the analysis of transaction data.,,
KYC,noun,legal term,/ˈkeɪ ˈwaɪ ˈsiː/,Initialism; see 'Know Your Customer'.,,
KYT,noun,legal term,/ˈkeɪ ˈwaɪ ˈtiː/,Initialism; see 'Know Your Transaction'.,,
roadmap,noun,legal term,/ˈroʊdmæp/,A planning technique which lays out the short and long term goals of a particular project within a flexible estimated timeline.,,
2FA,noun,software term,"/ˈtuː ˈfæktər ɔːˈθɛntɪˌkeɪʃən/, /ˈtuː ˈɛf ˈeɪ/",Abbreviation; two-factor authentication (2FA) is an identity and access management security method that requires two forms of identification to access resources and data. 2FA gives businesses the ability to monitor and help safeguard their most vulnerable information and networks.See also 'U2F' When 2FA A,,
algorithm,noun,software term,/ˈælɡəˌrɪðəm/,"An algorithm is a finite sequence of rigorous instructions, typically used to solve a class of specific problems or to perform a computation. ",,
API,noun,software term,"/ˈæplɪˌkeɪʃən ˈproʊɡræmɪŋ ˈɪntərˌfeɪs/, /ˈeɪ.pi.aɪ/","Initialism; Application Programming Interface. A predefined set of requests that one program can make to another in order to transfer information between them. When you hear someone saying that an application is 'getting information from' another source, it's often doing so through an API.",,
ASIC,noun,software term,"/ˈæplɪˌkeɪʃən spəˈsɪfɪk ˈɪntɪˌgreɪtɪd ˈsɜrkɪt/, /ˈeɪˌsɪk/","Acronym; Application Specific Integrated Circuit. ASICs are silicon chips designed to do a specific task. In ASICs used for mining cryptocurrencies, the ASIC will perform a calculation to find values that provide a desired solution when placed into a hashing algorithm.",,
bounty,noun,software term,/ˈbaʊnti/ /bʌɡ ˈbaʊnti/,"A reward offered for exposing vulnerabilities and issues in computer code. For this reason, often referred to as a ""bug bounty"".",,
bytecode,noun,software term,/ˈbaɪtkoʊd/,"Bytecode is a 'low-level' computer language, that is, meant to be processed by a computer, rather than a 'high-level', more human-readable, language. In Ethereum, higher-level Solidity is compiled into Ethereum bytecode, which is read by the Ethereum Virtual Machine (EVM).",,
Byzantine fault tolerance,noun,software term,/bɪˈzæn.tiːn fɔːlt ˈtɒlərəns/,"A Byzantine fault, or failure, is one of the most difficult failures to deal with in computer systems; this is because it takes into account the possibility that the information used to determine the current state of the system may--or may not--be reliable. While applicable in many realms of technology, this becomes of particular interest in public blockchain systems: how do we ensure that we can agree on the current state of the network when there is an incentive, often a significant financial incentive, to subvert the state of the network for one's own profit? On a more basic level, if we're coordinating a network running around the world on all kinds of different hardware and software, there are all kinds or problems that can occur that hinder the network's ability to reach consensus on its current state. Therefore, a network that has been designed and implemented to be resistant to these sorts of failures, either due to malicious intent or technical failure, is said to be Byzantine Fault Tolerant.",,
compile,verb,software term,/ˈkɑmpaɪlɪŋ/,"There are many languages in computing and software programming. In general, 'low-level' languages are those actually processed by the computer's operating system or processor, while 'high-level' languages are those typed in by software developers making programs. Compiling, then, is converting code written in a high-level programming language (e.g., Solidity) into a lower-level language (e.g., EVM bytecode).",,
DDoS,noun,software term,/dɪˈstrɪbjʊtɪd dɪˈnaɪəl əv ˈsɜrvɪs əˈtæk/,initialism; Distributed Denial of Service attack. A type of cyber-attack in which the perpetrator continuously overwhelms the system with requests in order to prevent service of legitimate requests.,,
dev,noun,software term,/dɛv/,Abbreviation of developer.,,
developer,noun,software term,/dɪˈvɛləpər/,"A person that creates new products, especially computer products such as software.",,
encryption,noun,software term,/ɛnˈkrɪpʃən/,"Encrpytion, literally 'in a hidden place', is the art and science of encoding information to control who can read it, or how it is to be read. Encryption occurs in natural (human) languages, as well as in machine and computer languages. Highly complex, and therefore difficult to decipher, encryption is an essential element enabling blockchain networks to be simultaneously public and secure.",,
entropy,noun,software term,/ˈɛntrəpi/,"In the context of cryptography, 'entropy' refers to 'randomness'; generally, the more random something is (the more entropy it has), the more secure it is.",,
firewall,noun,software term,/ˈfaɪərˌwɔl/,"In computing, a firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules. A firewall typically establishes a barrier between a trusted network and an untrusted network, such as the Internet.",,
firmware,noun,software term,/ˈfɜrmwɛər/,,,
hexadecimal,noun,software term,/ˌhɛksəˈdɛsɪməl/; /ˈhɛks ˈdeɪtə/,"Hexadecimal is a base 16, rather than base 10, counting system. Used all over Ethereum for a variety of things, a hexadecimal string is comprised of the numbers 0 1 2 3 4 5 6 7 8 9 and letters A B C D E F. Commonly referred to with the elliptical 'hex data'.",,
IP address,noun,software term,/ˈaɪˈpiː ˈædrɛs/,A unique string of characters that identifies each computer using the Internet Protocol to communicate over a network.,,
JSON-RPC,noun,software term,/ˈdʒeɪsən-ˈɑrˈpiːˈsiː/,"JSON-RPC is, quite simply, a method used to move data around computer systems, and predates public blockchain technology. It was chosen as a standard for moving data between blockchain networks and Internet browsers and wallets, with the result that these networks have come to be called 'RPC networks', despite JSON-RPC not being their defining technical feature.",,
keystore file,noun,software term,/ˈkiːstɔr faɪl/,"A keystore file is a special, encrypted version of a private key in JSON format. See also 'private key'.",,
latency,noun,software term,/ˈleɪtənsi/,In the context of Network latency:  refers to the amount of time it takes for a computer on one network to communicate with a computer on another network. Network latency,,
library,noun,software term,/ˈlaɪbrəri/,"A collection of non-volatile resources used by computer programs, often for software development. These may include configuration data, documentation, help data, message templates, pre-written code and subroutines, classes, values or type specifications. Software Library ",,
light client,noun,software term,/laɪt ˈklaɪənt/,"In computing, a 'client' is a software that runs or accesses a program made available by a remote computer. With blockchain networks, then, clients are the programs that sync blockchain data and participate in network consensus. More often and more specifically, 'Layer 2' is used as a noun, to refer to a type of network that is specifically built to handle a large number of transactions quickly by relying on Ethereum mainnet for security functions, and optimizing for speed and scale. Examples include Arbitrum and Optimism; this is different from a 'sidechain', which is a network that has its own security mechanism, yet still allows compatibility and bridging of assets between itself and Ethereum.",,
malware,noun,software term,/ˈmælwɛər/,"Any software intentionally designed to cause disruption to a computer, server, client, or computer network, leak private information, gain unauthorized access to information or systems, deprive access to information, or which unknowingly interferes with the user's computer security and privacy.",,
metadata,noun,software term,/ˈmɛtəˌdeɪtə/,In the context of 'NFT metadata': Metadata is 'data that provides information about other data' Metadata,,
metaverse,noun,software term,/ˈmɛtəˌvɜrs/,"A metaverse is a digital universe that contains all the aspects of the real world, such as real-time interactions and economies. It offers a unique experience to end-users. Metaverse ",,
MFA,noun,software term,/ˈmʌltiˌfæktər ɔːˈθɛntɪˌkeɪʃən/,"Initialism; Multi-Factor Authentication refers to using two or more different factors to achieve authentication, ie, confirmation of credentials, e.g., to log into a website or app.",,
NFC,noun,software term,"/ˈnɪərˈfiːld ˌkəˌmjunɪˈkeɪʃən/, /ˈɛn ˈɛf ˈsiː/",Initialism; Near-Field Communication is a set of communication protocols that enables communication between two electronic devices over a distance of 4 cm or less. NFC offers a low-speed connection through a simple setup that can be used to bootstrap more capable wireless connections..,,
P2P,adjective,software term,"/ˌpɪər tə ˈpɪər/, /ˌpiː ˈtuː ˈpiː/","Abbreviation; Peer-to-peer. P2P refers to interactions that happen directly between two parties, usually two separate individuals, and have been present in Internet technology in different ways for some time. These interactions are often coordinated through some sort of app or network, which can consist of any number of individuals. Public blockchains can be considered to have a high degree of P2P functionality, as individuals are able to transact or interact with each other without relying on an intermediary or single point of failure.",,
parity,noun,software term,/ˈpærɪti/,"In a general sense, to say that something 'has parity' with another thing means 'equal in features or other important quality', and is a phrase often used by software developers and computer scientists.",,
password,noun,software term,/ˈpæswɜrd/,,,
password manager,noun,software term,/ˈpæswɜrd ˈmænɪdʒər/,A password manager is a tool or software that stores all sorts of passwords needed for online applications and services. Password manager ,,
phishing,verb,software term,/ˈfɪʃɪŋ/,Phishing is a form of social engineering where attackers deceive people into revealing sensitive information or installing malware such as ransomware.,,
QR code,noun,software term,/ˌkjuː ˈɑːr ˈkoʊd/,"A QR code is a type of matrix barcode, constituting a machine-readable optical label that can contain information about the item to which it is attached. ",,
RPC,noun,software term,"/ˈriːmoʊt prəˈsiːdʒər kɔːl/, /ˌɑːr ˈpiː ˈsiː/","Initialism; Remote Procedure Call is a technology that is used to transfer data between endpoints. You may often see it referred to as JSON-RPC, which is its full name; see ‘JSON-RPC’ for further details.",,
sandbox,noun,software term,/ˈsændbɒks/,A testing environment in a computer system in which new or untested software or coding can be run securely.,,
SDK,noun,software term,/ˌɛs ˈdiː ˈkeɪ/,"Initialism; A Software Development Kit is a collection of software development tools in one installable package. They facilitate the creation of applications by having a compiler, debugger and sometimes a software framework.",,
search engine,noun,software term,/ˈsɜrtʃ ˈɛndʒɪn/,,,
Turing-complete,adjective,software term,/ˈtjʊərɪŋ kəmˈpliːt/,"Any machine that can calculate on a level equal to a programmable computer is Turing-complete, or computationally universal. The Ethereum Virtual Machine, which processes smart contracts and transactions, is Turing-complete, despite not existing on a single physical computer.",,
U2F,noun,software term,/juː ˈtuː ˈɛf/,Initialism; Universal 2nd Factor (U2F) is an open standard that strengthens and simplifies two-factor authentication (2FA) using specialized Universal Serial Bus (USB) or near-field communication (NFC) devices based on similar security technology found in smart cards,,
upgrade,noun,software term,/ˈʌpɡreɪd/,"Upgrading is the process of replacing a product with a newer version of the same product. In computing and consumer electronics, an upgrade is generally a replacement of hardware, software, or firmware with a newer or better version, in order to bring the system up to date or to improve its characteristics. See also EIP-1159, merge, and  other important Ethereum upgrades",,
URL,noun,software term,/ˈjuːˌɑːrˈɛl/,"Initialism; Uniform Resource Locator. A format used to consistently identify and route a user to a specific computer-hosted resource, most commonly known as the format for web sites, apps, files, or anything else hosted and accessible on the Internet.",,
WebHID,noun,software term,/ˈwɛbˌhaɪd/,"WebHID (Human Interface Device) Enables web applications to interact with human interface devices (HIDs) other than the standard supported devices (mice, keyboards, touchscreens, and gamepads). However, there are many other HID devices that are currently inaccessible to the web",,
whitepaper,noun,software term,/ˈwaɪtpˌeɪpər/,Whitepapers explain the purpose and technology behind a project.,,
