Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten,Ropsten
RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC,RPC
rug pull,هروب المحتالين,跑路,Rug Pull 騙局,rug pull,escroquerie rug pull,Rug Pull,κακόβουλο λογισμικό,yaudarar kuɗi ta crypto,रग पुल (rug pull),rug pull,rug pull,rug pull,ラグプル,러그 풀,‏کلاهبرداری راگ پول,tarik permaidani,sudden scam,Rug pull,puxada de tapete,rug pull,раг-пулл,tirón de alfombra,rug pull,กลโกงแบบหอบหนี,halı çekme,витягування килимка,rút thảm,rug pull
Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron,Safeheron
Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay,Samsung Pay
sandbox,بيئة الاختبار,沙盒,沙盒,sandbox,environnement de test sandbox,Sandbox,απομονωμένο υπολογιστικό περιβάλλον,gwaji,सैंडबॉक्स,sandbox (homokozó),sandbox,sandbox,サンドボックス,샌드박스,سندباکس,kotak pasir,testing environment,Środowisko testowe / piaskownica,sandbox,sandbox,«песочница»,entorno de pruebas,sandbox,แซนด์บ็อกซ์,sandbox,пісочниця,môi trường thử nghiệm,sandbox
Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine,Sardine
Satoshi Nakamoto,ساتوشي ناكاموتو,中本聪,中本聰,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,सातोशी नाकामोटो,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,나카모토 사토시,ساتوشی ناکاموتو,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Satoshi Nakamoto,Сатоши Накамото,Satoshi Nakamoto,Satoshi Nakamoto,ซาโตชิ นากาโมโต,Satoshi Nakamoto,Сатоші Накамото,Satoshi Nakamoto,Satoshi Nakamoto
scalability,قابلية التوسع,可扩展性,可擴展性,schaalbaarheid,capacité à être mis à l’échelle,Skalierbarkeit,επεκτασιμότητα/δυνατότητα κλιμάκωσης,ƙara saurin ciniki (saurin yankewa),स्केलेबिल्टी,méretezhetőség,skalabilitas,scalabilità,スケーラビリティ,확장성,مقیاس پذیری,kebolehskalaan,fit carry more work,Skalowalność,escalabilidade,scalabilitate,масштабируемость,escalabilidad,scalability,ความสามารถในการปรับขนาด,ölçeklendirilebilirlik,масштабованість,khả năng mở rộng,scalability
scaling,التوسع,扩容,擴展,opschalen,monter en charge / montée en charge,Skalieren,Αλλαγή κλίμακας,ƙarfafa,स्केलिंग,méretezés,scaling,scaling,スケーリング,스케일링,مقیاس پذیری,penskalaan,make am fit carry more work,skalowanie,dimensionamento,scaling,масштабирование,escalado,scaling,ปรับขนาด,ölçeklendirme,масштабування,mở rộng quy mô,scaling
scam,احتيال,欺诈,詐騙,scam/oplichting,arnaque / escroquerie,Betrug,Απάτη,yaudara,स्कैम,átverés,penipuan,truffa,詐欺,사기,کلاهبرداری,penipuan,scam,oszustwo,golpe,înșelăciune,мошенничество,estafa,panloloko,หลอกลวง,dolandırıcılık,шахрайство,lừa đảo,scam
Scrypt,خوارزمية التعدين Scrypt,Scrypt 挖掘算法,Scrypt,scrypt,Scrypt,Scrypt,Συνάρτηση παραγωγής κλειδιού,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,스크립트,اسکریپت,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,Scrypt,scrypt,Scrypt,สคริปต์,Scrypt,Scrypt,Scrypt,Scrypt
SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK,SDK
search engine,محرك البحث,搜索引擎,搜尋引擎,zoekmachine,moteur de recherche,Suchmaschine,Μηχανή αναζήτησης,injin bincike,सर्च इंजन,keresőmotor,mesin pencari,motore di ricerca,検索エンジン,검색 엔진,موتور جستجو,enjin carian,search engine,wyszukiwarka,motor de busca,motor de căutare,поисковая система,motor de búsqueda,search engine,โปรแกรมค้นหา,arama motoru,пошукова система,công cụ tìm kiếm,search engine
Secret Recovery Phrase,عبارة الاسترداد السرية,私钥助记词,助記詞,Geheime herstelzin,Phrase secrète de récupération,Geheime Wiederherstellungsphrase,Μυστική φράση ανάκτησης,Kalmar Sirri,सीक्रेट रिकवरी फ्रेज़,Titkos helyreállítási kifejezés,Frasa Pemulihan Rahasia,Frase di recupero segreta,シークレットリカバリーフレーズ,비밀복구구문,عبارت بازیابی محرمانه,Frasa Pemulihan Rahsia,Secret Word,Tajna fraza odzyskiwania (SRP),Frase de Recuperação Secreta,Frază secretă de recuperare,Секретная фраза для восстановления,Frase secreta de recuperación,Lihim na Parirala sa Pagbawi,วลีกู้คืนรหัส,Gizli Kurtarma İfadesi,Секретна фраза відновлення,Cụm từ khôi phục bí mật,Secret Recovery Phrase
Security Token,توكِنّ ورقة مالية,证券型代币,證券型代幣,Beveiligingstoken,Jeton de sécurité,Security Token,Διακριτικό ασφαλείας,Mai ganowa na tsaro,सिक्यूरिटी टोकन,Biztonsági zseton,Token Keamanan,Security Token,セキュリティトークン,보안 토큰,توکن اوراق بهادار,Token Keselamatan,Special tokens wey you fit invest,Token zabezpieczający,Token de segurança,Token de securitate,Токен безопасности,Token de seguridad,Token ng Seguridad,โทเค็นหลักทรัพย์,Menkul Kıymet Tokeni,Токен безпеки,Token chứng khoán,Security Token
Security Token Offering,عرض توكن الورقة المالية,证券型代币发行,證券型代幣發行,Security Token Offering,Offre de jetons de sécurité,Security-Token-Offering,Προσφορά διακριτικών ασφαλείας,Fitar Alamar Tsaro,सिक्यूरिटी टोकन ऑफरिंग,Értékpepír token kibocsátás,Penawaran Token Keamanan,Security Token Offering,セキュリティトークンオファリング,증권형 토큰 공개,عرضه توکن اوراق بهادار,Tawaran Token Keselamatan,Dem dey sell special tokens for investment,Security Token Offering,Oferta de token de segurança,Security Token Offering,Предложение токенов безопасности (STO),Oferta de tokens de seguridad,Security Token Offering,การเสนอขายโทเค็นหลักทรัพย์,Menkul Kıymet Token Arzı,Пропозиція токенів безпеки,Cung cấp mã thông báo bảo mật,Security Token Offering
seed phrase,العبارة الأولية,助记词,助記詞,seed phrase,phrase secrète,Seed-Phrase,αρχική φράση,kalmar sirri,सीड फ्रेज़,magkifejezés,seed phrase,frase di ripristino,シードフレーズ,시드구문,عبارت بازیابی,frasa benih,secret word,Fraza seed,frase-semente,seed phrase,сид-фраза,frase semilla,pariralang binhi,ซีดเฟส,anahtar cümle,сід-фраза,cụm từ khôi phục,seed phrase
self-custody,الحفظ الذاتي,自主托管,自行監管,self-custody/zelfbewaring/eigen beheer,détention en propre,Selbstverwahrung,αυτοεπιμέλεια,ajiyar kudi kai tsaye,सेल्फ-कस्टडी,önálló felügyelet,penyimpanan mandiri,self-custody,セルフカストディ,셀프 커스터디,خود حضانتی,jagaan sendiri,you dey hol your crypto keys yourself,samodzielne zarządzanie,autocustódia,custodie proprie,самодепозитарий,autocustodia,sariling kustodiya,การเก็บรักษาเอง,self-custody,самостійне зберігання,tự lưu ký,self-custody
self-executing,ذاتي التنفيذ,自动执行,自動執行,zelfuitvoerend,Auto-exécution,selbstausführend,αυτοδικαίως εκτέλεση,mai aiki kai tsaye,सेल्फ-एक्सीक्यूटिंग,önvégrehajtó,eksekusi mandiri,auto-esecuzione,自動実行型,셀프 커스터디,خود اجراشونده,melaksanakan sendiri,e dey work automatically,samowykonujący,autoexecutável,autoexecutare,самоисполняющийся,autoejecutable,sariling pagpapatupad,ดำเนินการเอง,kendiliğinden uygulanan,самовиконуваний,tự thực hiện,self-executing
Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia,Sepolia
Serenity,ترقية Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,セレニティ,세레니티,سرنیتی,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity,Serenity
serialization,عملية التسلسل,序列化,序列化,serialisatie,sérialisation,Serialisierung,σειριοποίηση,silsilantarwa,सीरियलाइज़ेशन,sorozatosítás,serialisasi,serializzazione,シリアル化,직렬화,دنباله‌سازی,serialisasi,turn data small for storage or to send,Serializacja,serialização,serializare,сериализация,serialización,pagse-serye,การเรียงลำดับอนุกรม,serileştirme,серіалізація,tuần tự hóa,serialisation
shard chain,سلسلة مجزأة,分片区块链,分片鏈,shard chain,chaîne de fragment,Shard Chain,Αλυσίδα Θραυσμάτων,sassanƙa sarka,शार्ड चेन,shard chain,chain pecahan,shard chain,シャードチェーン,샤드체인,زنجیره شارد,rantai shard,small chains wey dey work with big chain,łańcuch odłamkowy,cadeia de fragmentos,lanț de fragmente,шардчейн,cadena de fragmentos,chain ng pagpipira-piraso,ชาร์ดเชน,parça zincir,ланцюжок сегментів,chuỗi phân đoạn,shard chain
sharding,تجزئة الشبكة,分片,分片,sharding,fragmentation,Sharding,κατακερματισμός,sassakawa,शार्डिंग,szilánkolás,pemecahan,sharding,シャーディング,샤딩,شاردینگ,sharding,dem dey divide blockchain,sharding,fragmentação,fragmentare,шардинг,fragmentación,pagpipira-piraso,การแบ่งชาร์ด,bölme,шардування,phân đoạn,sharding
shielded transaction,معاملة مُحصنة,隐私交易,匿名交易,afgeschermde transactie,transaction protégée,Abgeschirmte Transaktion,Προστατευμένη συναλλαγή,mu'amala a Boye,शील्डेड ट्रांसेक्शन,védett tranzakció,transaksi terlindung,transazione protetta,秘匿化済みトランザクション,차폐 트랜잭션,تراکنش محافظت‌شده,transaksi terlindung,secret message,ukryta transakcja,transação blindada,tranzacție protejată,защищенная транзакция,transacción blindada,shielded na transaksyon,ธุรกรรมที่มีการป้องกัน,korumalı işlem,захищена транзакція,giao dịch được bảo vệ,shielded transaction
sidechain,سلسلة جانبية,侧链,側鏈,sidechain,chaîne latérale / blockchain secondaire,Sidechain,πλευρική αλυσίδα,sarkar gefe,साइडचेन,Oldallánc,sidechain,sidechain,サイドチェーン,사이드체인,زنجیره جانبی,rantaian sampingan,separate blockchain wey dey connect to main one,Łańcuch boczny,rede paralela / lateral,sidechain,сайдчейн,cadena lateral,sidechain,เชนข้างเคียง,yan zincir,сайдчейн,chuỗi phụ,sidechain
slashing condition,شرط الشطب,削减条件,刪砍條件,slashing condition,condition de hachage,Slashing-Bedingung,συνθήκη slashing,sharía mai ragewa,स्लैशिंग (slashing) कंडीशन,fenyegető állapot,kondisi slashing,condizione di slash,スラッシュ条件,슬래싱 조건,شرط کاهنده,keadaan slashing,wetin fit make dem destroy validator money,Slashing,condição de corte,condiție de slashing,условие слэшинга,condición de corte,kondisyon ng paglaslas,เงื่อนไขลงโทษ,slashing ceza durumu,умова скорочення,điều kiện phạt,slashing condition
slippage,الانزلاق السعري,滑移,滑點,slippage,slippage / effet de glissement,Slippage,απόκλιση,bambanci farashin,स्लिपेज (slippage),csúszás,slip/selip,slippage,スリッページ,슬리피지,لغزش قیمت,gelinciran,price change before you finish to buy/sell,Poślizg cenowy,slippage,slippage,проскальзывание,deslizamiento,slippage,ค่าความคลาดเคลื่อน,kayma,прослизання,trượt giá,slippage
slot,فاصل زمني,时间间隔（Slot）,時段,slot,un créneau,Slot,χρονικό διάστημα,zagaye na zabin shinga,स्लॉट,rés,slot,slot,スロット,슬롯,اسلات,slot,slot,Slot,espaço,slot,слот,ranura,puwang,สล็อต,slot,слот,khe thời gian,slot
smart contract,عقد ذكي,智能合约,智能合約,slim contract,contrat intelligent,Smart Contract,έξυπνη σύμβαση,yarjejeniyar kai tsaye,स्मार्ट कॉन्ट्रैक्ट,okos szerződés,kontrak cerdas,smart contract,スマートコントラクト,스마트 계약,قرارداد هوشمند,kontrak pintar,agreement wey dey run by itself,Smart kontrakt (kontrakt inteligentny),contrato inteligente,smart contract,смарт-контракт,contrato inteligente,smart na kontrata,สมาร์ตคอนแทรก,akıllı sözleşme,смарт-контракт,hợp đồng thông minh,smart contract
soft fork,انقسام بسيط (هارد فورك),软分叉,軟分叉,soft fork,fork doux,Soft Fork,αναβάθμιση λογισμικού,canjin tsarin cibiyar sadarwa mai sauƙi,सॉफ्ट फोर्क,soft fork,soft fork,soft fork,ソフトフォーク,소프트 포크,انشعاب نرم,soft fork,small upgrade or change wey no break old systems,Soft fork,bifurcação leve,soft fork,софтфорк,bifurcación suave,soft fork,การแยกอสมบูรณ์,yumuşak çatal,софт-форк,phân nhánh mềm,soft fork
Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,솔리디티,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity,Solidity
stablecoin,عملة مستقرة,稳定币,穩定幣,stablecoin,stablecoin (monnaie stable),Stablecoin,stablecoin,kudi mai daidaito,स्टेबलकॉइन,stabil érme,stablecoin,stablecoin,ステーブルコイン,스테이블코인,استیبل کوین,stablecoin,crypto wey hin value no dey change too much,Stablecoin,moeda estável,stablecoin,стейблкоин,moneda estable,stablecoin,สเตเบิลคอยน์,stabil kripto para,стейблкойн,đồng ổn định,stablecoin
stake,يُخزّن,权益,質押權益,staken,stake,staken,ποντάρισμα,zuwa sanya crypto hannu don samun lada,स्टेकिं,stake,stake,stake,ステーク,스테이크,سپرده‌گذاری,stake,make you hold crypto so you go fit collect gain,stake,stake,risca,стейкинг,stake,pagkakataya,เดิมพัน,stake,ставка,ký gửi,stake
staking,الربط,质押,質押,staking,staking,staking,συμμετοχή,sanya hannu don samun lada,स्टेकिंग,staking,staking,staking,ステーキング,스테이킹,سپرده‌گذاری,staking,"hold crypto, collect gain",staking,staking,staking,стейкинг,staking,pagtataya,การฝาก,stake etme,стейкинг,ký gửi,staking
state,حالة,状态,狀態,status,état,Status,επικοινωνία,bayanin yanzu na cibiyar sadarwa,स्टेट,állapot,state,stato,ステート,상태,وضعیت,state,wetin dey happen now for blockchain network,Stan,estado,stare,стейт,estado,estado,สถานะ,durum,стан,trạng thái,state
state channels,قنوات الحالة,状态通道,狀態通道,statuskanalen,canaux d’état,Statuskanäle,αμφίδρομα κανάλια επικοινωνίας,tashoshin hali,स्टेट चैनल्स,állapoti csatornák,saluran state,canali di stato,ステートチャネル,상태 채널,کانال‌های وضعیت,saluran state,special channels wey dey make transaction happen quick-quick for Ethereum,Kanały stanu,canais de estado,canale de stare,Каналы состояния,canales de estado,mga channel ng estado,แชนแนลสถานะ,durum kanalları,канали стану,kênh trạng thái,state channels
STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO,STO
streaming,تدفق,资金流,金流,streaming,streaming,Streaming,Ροή,biyan kuɗi a sassa,स्ट्रीमिंग,streaming,streaming,streaming,ストリーミング,스트리밍,جریان پول,penstriman,payment wey dey flow steady,streaming,fluxo,streaming,стриминг,flujo,streaming,สตรีม,streaming,потокова передача,thanh toán liên tục,streaming
swap,مبادلة,兑换,交換,swap,swap,Swap,εναλλαγή,canjin kudi na crypto,स्वैप,csere,penukaran,scambio,スワップ,스왑,مبادله,tukar,trade one crypto for anoda,swap,troca,swap,своп,intercambio,pag-swap,การแลกเปลี่ยน,swap,своп,hoán đổi,swap
swap,تبديل,兑换,換幣,swappen,échanger,swappen/tauschen,ανταλλάσσω,musanya,स्वैप,cserél,tukar,scambia,交換する,스왑,مبادله,tukar,make u trade crypto for anoda,wymieniać,trocar,a face schimb,выполнять своп,intercambiar,i-swap,แลกเปลี่ยน,swap işlemi yapmak/gerçekleştirmek,здійснювати свопінг,hoán đổi,swap
szabo,سزابو (szabo),szabo,szabo,szabo,szabo,Szabo,szabo,szabo,szabo,szabo,szabo,szabo,szabo,재보,سابو,szabo,szabo,Szabo,szabo,szabo,сабо,szabo,szabo,ซาโบ,szabo,сабо,szabo,szabo
Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku,Teku
Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram,Telegram
testnet,شبكة الاختبار,测试网,測試網路,testnet,testnet,Testnet,δίκτυο δοκιμών,Cibiyar gwaji,टैस्टनेट (testnet),testnet,testnet,testnet,テストネット,테스트넷,شبکه آزمایشی,testnet,where dem dey test new software,sieć testowa,testnet,testnet,тестнет,red de pruebas,testnet,เครือข่ายทดสอบ,test ağı,тестова мережа,mạng thử nghiệm,testnet
Testnet Kovan,شبكة اختبار Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,टैस्टनेट Kovan,Kovan Teszthálózat,Testnet Kovan,Testnet Kovan,テストネットKovan,테스트넷 코반,شبکه آزمایش کوان,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Testnet Kovan,Тестнет Kovan,Red de pruebas Kovan,Testnet Kovan,เครือข่ายทดสอบ Kovan,Testnet Kovan,Kovan Testnet,Mạng thử nghiệm Kovan,Testnet Kovan
Testnet Rinkeby,شبكة اختبار Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,टैस्टनेट Rinkeby,Rinkeby teszthálózat,Testnet Rinkeby,Testnet Rinkeby,テストネットRinkeby,테스트넷 린케비,شبکه آزمایشی رینکبای,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Testnet Rinkeby,Тестнет Rinkeby,Red de pruebas Rinkeby,Testnet Rinkeby,เครือข่ายทดสอบ Rinkeby,Testnet Rinkeby,Rinkeby Testnet,Mạng thử nghiệm Rinkeby,Testnet Rinkeby
Testnet Ropsten,شبكة اختبار Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,टैस्टनेट Ropsten,Ropsten teszthálózat,Testnet Ropsten,Testnet Ropsten,テストネットRopsten,테스트넷 롭스텐,شبکه آزمایشی راپستن,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Testnet Ropsten,Тестнет Ropsten,Red de pruebas Ropsten,Testnet Ropsten,เครือข่ายทดสอบ Ropsten,Testnet Ropsten,Ropsten Testnet,Mạng thử nghiệm Ropsten,Testnet Ropsten
token,توكِنّ,代币,代幣,token,jeton,Token,συμβολικά νομίσματα,kadara ta dijita,टोकन,token,token,token,トークン,토큰,توکن,token,special coin,Token,token,token,токен,token,token,โทเค็น,token,токен,token,token
token lockup,احتجاز التوكِنّ,代币锁定,代幣鎖倉,token-lock-up,blocage de jetons,Token-Lockup,κλείδωμα συμβολικών νομισμάτων,Kulle kadara ta dijita,टोकन लॉकअप,token zárolás,pencarian token,lock-up del token,トークンロックアップ,토큰 락업,قفل شدن توکن,penguncian token,hold your coin small time,Lock-up tokena,bloqueio de token,blocare token,блокировка токена,bloqueo de tokens,pag-lock ng token,ล็อกโทเค็น,token kilitlenmesi,блокування токенів,khoá token,token lockup
token standard,معيار التوكن,代币标准,代幣標準,tokenstandaard,jeton standard,Token-Standard,Τυπικό συμβολικό νόμισμα,daidaitacce token,टोकन स्टैंडर्ड,token szabvány,standar token,standard del token,トークン規格,토큰 표준,استاندارد توکن,piawaian token,rules wey tokens dey follow,standard tokena,padrão de token,standard de token,cтандарт токена,estándar de tokens,pamantayan ng token,มาตรฐานโทเค็น,Token standardı,стандарт токенів,tiêu chuẩn token,token standard
transaction,المعاملة,交易,交易,transactie,transaction,Transaktion,Συναλλαγή,ma'amala,ट्रांसेक्शन,tranzakció,transaksi,transazione,トランザクション,트랜잭션,تراکنش,transaksi,moving your crypto around like you dey move money,transakcja,transação,tranzacție,транзакция,transacción,transaksyon,ธุรกรรม,işlem,транзакція,giao dịch,transaction
transaction block,كتلة المعاملة,交易区块,交易區塊,transactieblok,bloc de transactions,Transaktionssperre,μπλοκ συναλλαγών,sassan ma'amala,ट्रांसेक्शन ब्लॉक,tranzakciós blokk,block transaksi,blocco transazione,トランザクションブロック,트랜잭션 블록,بلاک تراکنش,blok transaksi,block wey get transaction details,Block transakcji,bloco de transação,bloc tranzacții,блок транзакции,bloque de transacciones,block ng transaksyon,บล็อกธุรกรรม,işlem bloku,блок транзакцій,khối giao dịch,transaction block
transaction fee,رسوم المعاملة,交易费用,交易手續費,transactiekosten,frais de transaction,Transaktionsgebühr,προμήθεια συναλλαγής,kudin ma'amala,ट्रांसेक्शन फीस,tranzakciós díj,biaya transaksi,commissione transazione,トランザクション手数料,트랜잭션 수수료,کارمزد تراکنش,bayaran transaksi,money wey you dey pay for transaction,Opłata za transakcje,taxa de transação,comision tranzacție,комиссия за транзакцию,tarifa de transacción,bayad sa transaksyon,ค่าธุรกรรม,işlem ücreti,комісія за транзакцію,phí giao dịch,transaction fee
transaction ID,مُعرفّ المعاملة,交易 ID,交易ID,transactie-ID,ID de transaction,Transaktions-ID,ID συναλλαγής,lambar shaidar ma'amala,ट्रांसेक्शन आईडी,tranzakció-azonosító,ID transaksi,ID transazione,トランザクションID,트랜잭션 ID,شناسه تراکنش,ID transaksi,Unique code for every transaction,ID transakcji,ID da transação,ID tranzacție,ID транзакции,ID de transacción,ID ng transaksyon,ID ธุรกรรม,işlem kimliği,ID транзакції,ID giao dịch,transaction ID
transaction pool,تجمع المعاملات,交易池,交易池,transactiepool,pool de transactions,Transaktionspool,ομάδα συναλλαγών,tafkin ma'amala,ट्रांसेक्शन पूल,tranzakciós készlet,pool transaksi,pool transazione,トランザクションプール,트랜잭션 풀,استخر تراکنش,kolam transaksi,payment queue,pula transakcji,conjunto de transações,pool de tranzacții,пул транзакций,grupo de transacciones,pool ng transaksyon,พูลธุรกรรม,işlem havuzu,пул транзакцій,bể nhớ giao dịch,transaction pool
Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak
Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor
Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle
trustless,لا يتطلب ثقة,去信任,去信任化,trustless,sans confiance,Vertrauenslos,αναξιοπιστία,ba dole a amince,ट्रस्टलैस,trustless,tidak tepercaya,trustless,トラストレス,무신뢰,بدون نیاز به اعتماد,trustless,nobody fit cheat the system,nieopierające się na zaufaniu,sem necessidade de confiança,trustless,трастлесс,sin verificación de confianza,hindi kailangan ng tiwala,ไม่ต้องไว้วางใจ,güvensiz,без доверия,không cần sự tin tưởng,trustless
Turing-complete,تورنج كاملة,图灵完备,圖靈完備,Turingvolledig,Turing-complet,Turing-Complete,Turing-complete (Τούρινγκ υπολογιστικά καθολικό),Turing-cikakke,ट्यूरिंग (Turing)-कम्पलीट,Turing-teljes,Turing-complete,Turing equivalenza,チューリング完全,튜링완전,تورینگ کامل,Lengkap Turing,a computer wey fit do anything,Kompletność Turinga,Turing completo,Turing-complet,Полный по Тьюрингу,Turing completo,Turing-kumpleto,สมบูรณ์ตามแบบทัวริง,Turing bütünlüğü,Повна за Тьюрингом,ngôn ngữ Turing hoàn chỉnh,Turing-complete
TVL,إجمالي القيمة المحجوزة (TVL),总锁仓价值（TVL）,鎖幣總值,TVL,Valeur totale verrouillée (TVL),TVL,Κλειδωμένη συνολική τιμή (TVL),Jimlar Kudin da ke Ajiye,TVL,TVL,TVL,TVL,TVL,TVL,TVL,TVL,Total value of crypto wey dey locked up,TVL,TVL,TVL,общая заблокированная стоимость,Valor total bloqueado,TVL,TVL,Kilitli Toplam Değer,Загальна заблокована вартість,TVL,TVL
TXID,مُعرفّ المعاملة (TXID),交易 ID,交易 ID,TXID,TXID,TXID,TXID,TXID,TXID,TXID,TXID,TXID,TXID,TXID,شناسه تراکنش,TXID,TXID,TXID,TXID,TXID,TXID,ID de transacción,TXID,TXID,TXID,TXID,TXID,TXID
U2F,المعامل الثاني الشامل (U2F),U2F（通用第二因素）,通用第二因素,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,Evrensel 2. Faktör,U2F,U2F,U2F
